ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH
031501060001,CHARLES F JOHNSON JR ELEMENTARY SCHOOL,2018,295,74,4,1
031501060002,GEORGE F JOHNSON ELEMENTARY SCHOOL,2018,250,45,14,3
031501060007,LINNAEUS W WEST SCHOOL,2018,49,86,1,2
031501060009,JENNIE F SNAPP MIDDLE SCHOOL,2018,394,50,19,2
031501060012,UNION-ENDICOTT HIGH SCHOOL,2018,465,41,42,4
031501060013,THOMAS J WATSON SR ELEMENTARY SCHOOL,2018,169,57,1,0
031501060014,ANN G MCGUINNESS ELEMENTAR SCHOOL,2018,180,48,17,5
031502060000,JOHNSON CITY CENTRAL SCHOOL DISTRICT,2018,1520,62,143,6
031502060001,JOHNSON CITY ELEMENTARY/INTERMEDIATE SCHOOL,2018,368,67,32,6
031502060003,JOHNSON CITY ELEMENTARY/PRIMARY SCHOOL,2018,379,65,22,4
031502060005,JOHNSON CITY MIDDLE SCHOOL,2018,360,66,28,5
031502060006,JOHNSON CITY SENIOR HIGH SCHOOL,2018,413,54,61,8
031601060000,VESTAL CENTRAL SCHOOL DISTRICT,2018,756,23,107,3
031601060021,AFRICAN ROAD ELEMENTARY SCHOOL,2018,67,25,4,2
031601060022,CLAYTON AVENUE ELEMENTARY SCHOOL,2018,105,34,12,4
031601060023,GLENWOOD ELEMENTARY SCHOOL,2018,69,25,11,4
031601060026,TIOGA HILLS ELEMENTARY SCHOOL,2018,57,21,12,5
031601060028,VESTAL HILLS ELEMENTARY SCHOOL,2018,86,25,7,2
031601060041,VESTAL MIDDLE SCHOOL,2018,176,23,32,4
031601060051,VESTAL SENIOR HIGH SCHOOL,2018,196,19,29,3
031701060000,WINDSOR CENTRAL SCHOOL DISTRICT,2018,731,46,91,6
031701060002,FLOYD BELL ELEMENTARY SCHOOL,2018,122,47,20,8
031701060003,C R WEEKS ELEMENTARY SCHOOL,2018,132,53,11,4
031701060004,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,2018,271,48,31,5
031701060007,WINDSOR CENTRAL HIGH SCHOOL,2018,206,41,29,6
040204040000,WEST VALLEY CENTRAL SCHOOL DISTRICT,2018,98,46,10,5
040204040001,WEST VALLEY CENTRAL SCHOOL,2018,98,46,10,5
040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,2018,401,36,39,3
040302060001,ALLEGANY-LIMESTONE HIGH SCHOOL,2018,207,32,22,3
040302060002,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,2018,194,42,17,4
040901040000,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,2018,200,33,38,6
040901040001,ELLICOTTVILLE ELEMENTARY SCHOOL,2018,94,34,16,6
040901040002,ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,2018,106,31,22,6
041101040000,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,2018,309,49,40,6
041101040002,FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,151,52,14,5
041101040003,FRANKLINVILLE ELEMENTARY SCHOOL,2018,158,46,26,8
041401040000,HINSDALE CENTRAL SCHOOL DISTRICT,2018,200,51,20,5
041401040001,HINSDALE CENTRAL SCHOOL,2018,200,51,20,5
042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,2018,395,47,44,5
042302040002,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,2018,142,48,14,5
042302040003,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,2018,125,44,18,6
042302040004,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,2018,128,48,12,4
042400010000,OLEAN CITY SCHOOL DISTRICT,2018,1088,54,78,4
042400010002,WASHINGTON WEST ELEMENTARY SCHOOL,2018,164,64,7,3
042400010004,EAST VIEW ELEMENTARY SCHOOL,2018,177,51,13,4
042400010013,OLEAN SENIOR HIGH SCHOOL,2018,383,49,29,4
042400010016,OLEAN INTERMEDIATE-MIDDLE SCHOOL,2018,364,59,29,5
042801060000,GOWANDA CENTRAL SCHOOL DISTRICT,2018,614,53,134,12
042801060001,GOWANDA ELEMENTARY SCHOOL,2018,243,57,47,11
042801060005,GOWANDA MIDDLE SCHOOL,2018,193,54,39,11
042801060006,GOWANDA HIGH SCHOOL,2018,178,47,48,13
042901040000,PORTVILLE CENTRAL SCHOOL DISTRICT,2018,320,33,100,10
042901040001,PORTVILLE ELEMENTARY SCHOOL,2018,180,36,56,11
042901040002,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,140,31,44,10
043001040000,RANDOLPH CENTRAL SCHOOL DISTRICT,2018,398,45,77,9
043001040002,RANDOLPH SENIOR HIGH SCHOOL,2018,164,42,28,7
043001040003,G N CHAPMAN ELEMENTARY SCHOOL,2018,234,47,49,10
043011020000,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,2018,49,29,1,1
043011020001,RANDOLPH ACADEMY,2018,33,36,0,0
043011020002,RANDOLPH ACADEMYHAMBURG CAMPUS,2018,16,21,1,1
043200050000,SALAMANCA CITY SCHOOL DISTRICT,2018,735,65,19,2
043200050002,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,2018,225,60,6,2
043200050004,PROSPECT ELEMENTARY SCHOOL,2018,265,69,8,2
043200050005,SENECA ELEMENTARY SCHOOL,2018,245,66,5,1
043501060000,YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,2018,1053,45,215,9
043501060001,DELEVAN ELEMENTARY SCHOOL,2018,235,59,34,9
043501060004,PIONEER MIDDLE SCHOOL,2018,321,45,66,9
043501060005,ARCADE ELEMENTARY SCHOOL,2018,212,43,40,8
043501060006,PIONEER SENIOR HIGH SCHOOL,2018,285,39,75,10
050100010000,AUBURN CITY SCHOOL DISTRICT,2018,2039,49,63,2
050100010002,CASEY PARK ELEMENTARY SCHOOL,2018,367,73,2,0
050100010004,GENESEE STREET ELEMENTARY SCHOOL,2018,291,76,3,1
050100010005,HERMAN AVENUE ELEMENTARY SCHOOL,2018,202,41,2,0
050100010007,OWASCO ELEMENTARY SCHOOL,2018,185,40,4,1
050100010008,WILLIAM H SEWARD ELEMENTARY SCHOOL,2018,216,43,7,1
050100010009,AUBURN JUNIOR HIGH SCHOOL,2018,291,49,8,1
050100010013,AUBURN HIGH SCHOOL,2018,487,40,37,3
